Sigma;Epsilon;Void;Energy
6.197493;4.69E-05;0.89479113;4.09E-02
11.50963;0.004669764;0.886031358;1.11E+00
23.90462;0.06739124;0.767181687;2.12E+00
48.69458;0.12574528;0.656607784;3.82E+00
98.7172;0.17759812;0.558352874;6.82E+00
198.7845;0.22345688;0.471456027;1.14E+01
399.4761;0.26149156;0.399384873;1.92E+01
798.8923;0.2934716;0.338786535;-6.31E-01
400.8052;0.29242008;0.340779039;-1.26E+00
200.1136;0.28821396;0.348749131;-9.78E-01
100.0452;0.28169452;0.361102688;-5.54E-01
50.4653;0.27433384;0.375050293;-2.79E-01
25.23265;0.26697316;0.388997899;-4.79E-02
20.36319;0.26487012;0.392982907;4.42E-02
6.64017;0.26814687;0.386773859;-1.86E-03
11.95231;0.267947248;0.387152119;-3.01E-02
23.90462;0.266269408;0.390331424;4.59E-02
49.13726;0.267525972;0.387950386;3.72E-01
99.15989;0.272544815;0.378440281;1.04E+00
198.7866;0.279526952;0.365209969;2.20E+00
399.0351;0.286882564;0.351271967;2.30E+00
599.5085;0.291486044;0.342548925;2.82E+00
798.9006;0.295523864;0.334897741;5.31E+00
999.5671;0.301428404;0.323709346;6.63E+00
1198.772;0.30745782;0.312284326;1.18E+01
1499.351;0.3161916;0.295734861;-2.42E+00
799.7888;0.31408856;0.299719869;-2.27E+00
399.9212;0.310303088;0.306892885;-1.70E+00
200.5587;0.304624836;0.317652491;-1.01E+00
99.15989;0.29789508;0.330404571;-5.32E-01
49.57994;0.290744696;0.34395369;-2.95E-01
24.34729;0.282753116;0.359096776;-9.16E-02
11.95231;0.277705796;0.368660841;-4.89E-02
6.64017;0.27244817;0.378623412;-9.05E-01
