Sigma;Epsilon;Void;Energy
12.87154;0.29354452;0.509695361;-0.003911589
23.96769;0.29333216;0.510149174;0.01554917
49.26691;0.2937568;0.509241718;0.220321095
98.97767;0.2967292;0.5028897;0.322259206
100.7531;0.299956136;0.495993737;0.166538354
200.1746;0.301062969;0.493628435;0.896402177
400.3492;0.30404837;0.487248633;1.053555205
599.1553;0.306156525;0.482743506;1.185084758
799.2507;0.307851433;0.479121488;3.435100667
999.5991;0.311670652;0.470959817;5.612897349
1199.128;0.31677624;0.460049175;6.013675845
1355.552;0.321484208;0.449988248;0.228788026
