Sigma;Epsilon
4.7;0.001
10.6000006;0.0055
24.6000011;0.032
47.9000024;0.0675
99.1;0.1025
198.8;0.137
27.2999983;0.11
49.9000028;0.1165
99.1;0.124
198.8;0.1345
399.5;0.165
799.6;0.198
398.2;0.19795
200.8;0.195
99.1;0.1895
200.8;0.18945
400.1;0.1935
99.1;0.1845
198.1;0.1885
400.1;0.194
798.299968;0.2005
1596.2;0.2245
2499.10021;0.2405
1596.2;0.24045
798.9;0.2395
397.5;0.236
200.8;0.2295
100.4;0.222
49.2000021;0.215
23.9;0.2105
9.3;0.204
599.9;0.2315
999.3;0.2375
1599.5;0.2445
2497.7;0.253
1598.1;0.252995
800.3;0.2515
400.1;0.246
200;0.2385
99.7;0.2305
47.9000024;0.2225
24.6000011;0.215
10.6000006;0.207
